g_r,g_n,y,g,r,r10,psi,u,u100,e100,e,q,psigr
65.878,15.66,29.826,22.153,5.836666667,5.77,112.111,3.4,0.034,0.966,96.6,154.7644289,67.6044226
68.09,16.06,30.293,23.457,6.363333333,6.176666667,111.422,3.4,0.034,0.966,96.6,143.0600535,67.6403414
67.452,16.235,30.385,23.319,6.573333333,6.353333333,112.89,3.433333333,0.034333333,0.965666667,96.56666667,134.3040796,68.0954068
66.917,16.605,30.585,23.792,7.653333333,6.856666667,113.656,3.566666667,0.035666667,0.964333333,96.43333333,125.6621905,68.6090878
62.317,16.518,30.436,22.644,7.9,7.296666667,115.246,3.566666667,0.035666667,0.964333333,96.43333333,115.0101497,69.1235287
62.353,16.401,30.391,21.968,7.553333333,7.366666667,115.722,4.166666667,0.041666667,0.958333333,95.83333333,108.2097945,69.7086498
58.537,16.294,30.434,22.016,7.453333333,7.713333333,114.171,4.766666667,0.047666667,0.952333333,95.23333333,84.53436052,69.2110256
61.913,16.351,30.715,22.374,6.936666667,7.46,113.649,5.166666667,0.051666667,0.948333333,94.83333333,96.37706126,69.0177983
68.152,15.79,30.386,21.186,5.646666667,6.853333333,114.17,5.833333333,0.058333333,0.941666667,94.16666667,102.6068068,69.0410959
71.69,15.92,31.211,23.656,4.05,6.016666667,112.003,5.933333333,0.059333333,0.940666667,94.06666667,108.0071284,68.4738956
78.568,16.137,31.38,24.328,4.993333333,6.246666667,111.964,5.9,0.059,0.941,94.1,105.1285416,68.4297864
82.18,16.208,31.638,24.623,5.75,6.483333333,111.399,6.033333333,0.060333333,0.939666667,93.96666667,99.88356042,68.3008868
85.345,16.54,31.713,23.96,4.726666667,5.89,112.718,5.933333333,0.059333333,0.940666667,94.06666667,103.6719794,68.1927229
90.914,17.067,32.296,25.539,4.406666667,6.033333333,112.699,5.766666667,0.057666667,0.942333333,94.23333333,104.6103686,68.3651805
92.637,17.345,33.029,26.989,4.843333333,6.143333333,111.375,5.7,0.057,0.943,94.3,102.1241088,68.5744115
93.046,17.599,33.341,27.372,5.153333333,6.29,111.529,5.566666667,0.055666667,0.944333333,94.43333333,101.511446,68.0951499
96.334,18.442,33.899,27.544,5.436666667,6.373333333,111.989,5.366666667,0.053666667,0.946333333,94.63333333,109.8162927,67.9441261
99.551,19.216,34.738,29.158,6.31,6.603333333,111.75,4.933333333,0.049333333,0.950666667,95.06666667,100.1032033,68.0707228
94.392,19.93,35.116,30.401,7.016666667,6.806666667,112.023,4.933333333,0.049333333,0.950666667,95.06666667,90.4103215,68.363265
90.344,20.237,34.931,29.299,8.506666667,7.206666667,113.577,4.8,0.048,0.952,95.2,91.21059324,68.3495793
86.248,20.389,35.263,30.342,7.413333333,6.753333333,113.92,4.766666667,0.047666667,0.952333333,95.23333333,74.7367458,68.18145
80.64,20.368,34.96,28.61,7.353333333,7.053333333,114.213,5.133333333,0.051333333,0.948666667,94.86666667,69.12321266,68.4311224
77.385,20.333,35.043,28.496,8.69,7.543333333,113.385,5.2,0.052,0.948,94.8,60.67379932,68.3179096
74.793,20.126,34.712,27.019,9.01,7.963333333,114.399,5.633333333,0.056333333,0.943666667,94.36666667,43.07632302,68.3471263
65.055,19.597,34.577,27.183,7.673333333,7.67,113.069,6.6,0.066,0.934,93.4,39.17406799,68.135391
61.384,18.479,34.156,22.804,6.306666667,7.54,111.936,8.266666667,0.082666667,0.917333333,91.73333333,50.12311585,67.5940237
63.114,18.035,34.4,22.125,6.526666667,8.05,110.832,8.866666667,0.088666667,0.911333333,91.13333333,55.11681387,67.0072678
67.273,18.227,34.989,23.84,7.52,8.296666667,109.754,8.466666667,0.084666667,0.915333333,91.53333333,48.71533182,66.3244068
70.155,18.445,35.46,24.506,6.68,8.063333333,109.856,8.3,0.083,0.917,91.7,50.99897426,66.4324799
76.807,18.84,36.257,26.87,5.976666667,7.753333333,109.09,7.733333333,0.077333333,0.922666667,92.26666667,56.33841808,66.2531827
78.701,19.09,36.523,27.934,6.28,7.773333333,108.912,7.566666667,0.075666667,0.924333333,92.43333333,55.40666336,66.5573981
77.472,19.507,36.724,28.031,6.013333333,7.73,109.412,7.733333333,0.077333333,0.922666667,92.26666667,54.59503295,66.6834677
86.848,19.884,36.99,28.241,5.226666667,7.19,109.409,7.766666667,0.077666667,0.922333333,92.23333333,53.94412265,66.9505647
89.432,20.609,37.427,29.549,5.42,7.353333333,109.234,7.5,0.075,0.925,92.5,48.73667181,66.7566109
99.245,21.178,38.155,31.668,5.693333333,7.37,109.23,7.133333333,0.071333333,0.928666667,92.86666667,48.6507035,66.2100719
98.949,21.601,38.843,33.27,6.28,7.356666667,108.773,6.9,0.069,0.931,93.1,45.49730645,65.8350504
97.777,22.258,38.844,32.436,6.96,7.596666667,110.166,6.666666667,0.066666667,0.933333333,93.33333333,42.86814607,66.1757513
98.689,22.453,38.968,33.068,7.31,8.01,111.715,6.333333333,0.063333333,0.936666667,93.66666667,39.64482095,66.6453572
103.411,24.193,40.474,35.216,7.786666667,8.32,109.45,6,0.06,0.94,94,40.85905825,65.9024044
104.604,25.014,40.881,36.242,8.446666667,8.49,109.398,6.033333333,0.060333333,0.939666667,93.96666667,42.01634681,65.9660549
104.406,25.822,41.43,37.08,9.816666667,8.82,109.209,5.9,0.059,0.941,94.1,38.75609854,65.9137577
101.871,26.416,41.505,37.141,10.3,9.106666667,111.231,5.866666667,0.058666667,0.941333333,94.13333333,39.49641043,66.3649935
100.074,26.39,41.549,37.108,9.936666667,9.113333333,110.892,5.7,0.057,0.943,94.3,38.28921554,66.3989046
98.854,27.17,41.858,36.483,10.15333333,9.103333333,111.166,5.866666667,0.058666667,0.941333333,94.13333333,38.91229389,66.6636975
94.902,27.244,41.963,35.836,12.27,10.44666667,111.934,5.966666667,0.059666667,0.940333333,94.03333333,38.99444323,66.5972493
87.6,27.541,42.094,35.591,13.93333333,11.98666667,111.683,6.3,0.063,0.937,93.7,36.05993381,66.5609271
71.357,26.268,41.227,32.564,10.28333333,10.47666667,112.705,7.333333333,0.073333333,0.926666667,92.66666667,38.90371823,67.0650396
73.549,26.44,41.178,30.415,10.13666667,10.95333333,113.317,7.666666667,0.076666667,0.923333333,92.33333333,41.84550311,66.5590519
80.409,26.993,41.946,33.25,13.84,12.42333333,112.704,7.4,0.074,0.926,92.6,44.63894656,65.6871521
78.443,27.541,42.768,36.328,14.12,12.96,110.357,7.433333333,0.074333333,0.925666667,92.56666667,43.47411012,65.7570489
75.944,28.102,42.451,34.822,15.12666667,13.75,111.468,7.4,0.074,0.926,92.6,41.31949916,65.422042
70.049,28.754,42.959,36.785,16.32,14.84666667,110.574,7.4,0.074,0.926,92.6,35.72565591,64.595566
62.735,29.424,42.491,35.489,13.54666667,14.08666667,111.55,8.233333333,0.082333333,0.917666667,91.76666667,37.42513772,64.7598945
59.116,28.809,41.831,32.132,14.33333333,14.29333333,113.605,8.833333333,0.088333333,0.911666667,91.16666667,31.77229707,65.0221401
57.206,27.911,42.022,32.108,13.79666667,13.93,113.003,9.433333333,0.094333333,0.905666667,90.56666667,30.99946472,64.6119035
57.15,27.109,41.861,31.814,11.84,13.11666667,113.165,9.9,0.099,0.901,90.1,33.10413314,64.6803165
61.677,26.641,41.878,29.354,9.13,10.66666667,112.61,10.66666667,0.106666667,0.893333333,89.33333333,38.53399978,64.8600216
72.281,26.243,42.43,30.372,8.86,10.56333333,111.821,10.36666667,0.103666667,0.896333333,89.63333333,41.56376775,64.6761873
80.698,26.607,43.396,33.061,9.18,10.54333333,109.976,10.13333333,0.101333333,0.898666667,89.86666667,46.08013477,64.3838724
88.577,27.728,44.263,35.131,10.29666667,11.62666667,108.475,9.366666667,0.093666667,0.906333333,90.63333333,45.35502998,64.1509434
92.317,29.404,45.186,38.549,9.953333333,11.68666667,108.548,8.533333333,0.085333333,0.914666667,91.46666667,42.94148783,64.1029579
95.082,30.339,46.07,42.274,10.17666667,11.94333333,109.066,7.866666667,0.078666667,0.921333333,92.13333333,40.78666523,63.8371989
96.743,31.753,46.866,43.649,11.54666667,13.2,108.615,7.433333333,0.074333333,0.925666667,92.56666667,38.89461237,63.8810487
95.613,32.728,47.318,44.594,11.81,12.86666667,108.801,7.433333333,0.074333333,0.925666667,92.56666667,40.00796517,63.9217587
95.707,33.498,47.706,44.015,10.01666667,11.74333333,108.994,7.3,0.073,0.927,92.7,39.53415573,63.7630565
95.934,33.873,48.168,42.808,9.39,11.58333333,108.816,7.233333333,0.072333333,0.927666667,92.76666667,42.30498756,63.8835432
96.746,34.358,48.592,43.538,8.466666667,10.81333333,108.852,7.3,0.073,0.927,92.7,43.68604822,64.1544766
98.548,33.967,49.334,43.241,7.993333333,10.33666667,108.281,7.2,0.072,0.928,92.8,41.49711223,64.0189402
100.697,34.582,49.701,44.834,7.853333333,9.76,109.644,7.033333333,0.070333333,0.929666667,92.96666667,45.41919948,64.5864563
104.786,34.239,50.165,44.821,7.456666667,8.556666667,109.346,7.033333333,0.070333333,0.929666667,92.96666667,49.61958869,64.6742937
110.805,33.545,50.391,44.039,6.606666667,7.603333333,109.664,7.166666667,0.071666667,0.928333333,92.83333333,51.56500645,64.8458014
112.321,33.16,50.873,42.854,5.99,7.306666667,110.406,6.966666667,0.069666667,0.930333333,93.03333333,47.4450285,65.3236932
112.625,33.48,51.147,42.982,5.796666667,7.263333333,111.686,6.833333333,0.068333333,0.931666667,93.16666667,50.96220086,65.6375129
112.432,32.689,51.528,44.142,5.923333333,7.193333333,112.05,6.6,0.066,0.934,93.4,58.75693172,65.7093254
112.819,33.348,52.083,44.165,6.766666667,8.343333333,111.494,6.266666667,0.062666667,0.937333333,93.73333333,59.61619317,65.2883147
111.886,34.275,52.535,44.172,7.126666667,8.876666667,111.739,6,0.06,0.94,94,61.93843613,64.9728628
112.07,34.231,53.437,47.182,7.24,9.123333333,111.608,5.833333333,0.058333333,0.941666667,94.16666667,50.66258784,65.2195099
110.074,34.505,53.713,44.917,6.78,8.416666667,112.386,5.7,0.057,0.943,94.3,52.98111548,65.2506392
111.436,35.277,54.419,45.987,7.3,8.91,112.433,5.466666667,0.054666667,0.945333333,94.53333333,54.32750235,65.366388
111.502,35.498,54.738,46.242,8.003333333,9.1,112.208,5.466666667,0.054666667,0.945333333,94.53333333,53.07145306,65.219106
112.223,35.992,55.467,46.948,8.526666667,8.956666667,111.498,5.333333333,0.053333333,0.946666667,94.66666667,53.85215366,64.8698885
111.138,36.569,56.031,48.541,9.29,9.206666667,111.182,5.2,0.052,0.948,94.8,53.62200755,65.0070703
107.654,37.063,56.459,48.072,8.926666667,8.773333333,109.93,5.233333333,0.052333333,0.947666667,94.76666667,56.50690614,65.0724698
107.156,38.006,56.877,47.64,8.096666667,8.106666667,109.618,5.233333333,0.052333333,0.947666667,94.76666667,60.38167618,65.1361
104.879,37.622,56.989,47.287,7.826666667,7.906666667,110.605,5.366666667,0.053666667,0.946333333,94.63333333,62.94193342,65.6707566
105.807,38.104,57.612,47.757,8.126666667,8.423333333,110.641,5.3,0.053,0.947,94.7,61.43016372,65.6924497
101.636,37.608,57.821,47.771,8.273333333,8.676666667,110.929,5.333333333,0.053333333,0.946666667,94.66666667,63.40090243,65.7038218
96.171,37.875,57.86,46.845,7.826666667,8.703333333,111.09,5.7,0.057,0.943,94.3,55.85684766,66.0469303
90.622,37.279,57.333,44.225,7.303333333,8.396666667,112.077,6.133333333,0.061333333,0.938666667,93.86666667,61.62183349,66.0879584
85.847,36.532,57.065,42.753,6.436666667,8.016666667,111.364,6.6,0.066,0.934,93.4,68.82223828,65.6601069
88.489,36.348,57.51,42.753,6.243333333,8.13,111.101,6.833333333,0.068333333,0.931666667,93.16666667,68.12071715,65.840691
91.481,36.035,57.8,43.6,5.886666667,7.94,110.746,6.866666667,0.068666667,0.931333333,93.13333333,72.21047481,65.975758
93.29,36.014,58.002,45.146,4.866666667,7.346666667,111.316,7.1,0.071,0.929,92.9,82.11043722,66.4075912
98.626,35.873,58.696,44.312,4.356666667,7.303333333,111.763,7.366666667,0.073666667,0.926333333,92.63333333,83.72305518,66.5230974
102.001,37.033,59.333,46.818,4.22,7.376666667,111.398,7.6,0.076,0.924,92.4,83.58986797,66.7074284
102.044,37.6,59.919,47.19,3.416666667,6.616666667,111.13,7.633333333,0.076333333,0.923666667,92.36666667,86.39763323,66.9617429
105.94,38.585,60.544,48.629,3.563333333,6.743333333,110.223,7.366666667,0.073666667,0.926333333,92.63333333,95.93561781,66.7612774
106.013,38.968,60.645,49.776,3.406666667,6.28,109.595,7.133333333,0.071333333,0.928666667,92.86666667,97.58874798,66.6743739
107.427,39.734,60.998,50.062,3.38,5.99,110.437,7.066666667,0.070666667,0.929333333,92.93333333,97.23617109,66.4575762
111.447,40.054,61.289,49.722,3.423333333,5.616666667,109.68,6.8,0.068,0.932,93.2,98.15839451,66.4427322
117.162,41.499,62.122,52.335,3.526666667,5.606666667,109.45,6.633333333,0.066333333,0.933666667,93.36666667,98.0035387,65.8869726
118.911,41.938,62.725,54.329,3.91,6.066666667,108.13,6.566666667,0.065666667,0.934333333,93.43333333,93.89340969,65.7916394
122.758,42.591,63.575,57,5.133333333,7.083333333,108.439,6.2,0.062,0.938,93.8,90.40179202,65.7235911
120.95,43.319,63.947,56.069,5.6,7.333333333,108.347,6,0.06,0.94,94,92.63746749,65.349677
119.089,45.009,64.679,58.376,6.596666667,7.836666667,107.499,5.633333333,0.056333333,0.943666667,94.36666667,89.91092382,65.0655091
116.383,46.672,64.909,58.989,6.726666667,7.483333333,107.614,5.466666667,0.054666667,0.945333333,94.53333333,94.23958155,65.1475797
112.796,47.12,65.102,57.764,5.97,6.62,107.541,5.666666667,0.056666667,0.943333333,94.33333333,98.60024185,64.9787651
116.972,47.42,65.656,57.42,5.653333333,6.323333333,107.784,5.666666667,0.056666667,0.943333333,94.33333333,103.0922369,64.5949625
119.245,48.339,66.102,58.846,5.443333333,5.893333333,107.801,5.566666667,0.055666667,0.944333333,94.43333333,106.919041,64.64336
122.348,49.564,66.597,59.791,5.123333333,5.91,107.957,5.533333333,0.055333333,0.944666667,94.46666667,109.415198,64.4816413
127.682,50.884,67.708,62.663,5.663333333,6.72,107.487,5.5,0.055,0.945,94.5,112.4192691,64.4808904
127.415,52.485,68.315,65.51,5.783333333,6.78,107.538,5.266666667,0.052666667,0.947333333,94.73333333,112.0980659,64.525613
125.967,53.817,69.025,65.424,5.48,6.343333333,107.51,5.333333333,0.053333333,0.946666667,94.66666667,107.9724454,64.4751673
126.611,55.067,69.47,66.745,5.646666667,6.563333333,108.34,5.233333333,0.052333333,0.947666667,94.76666667,104.833775,64.3096984
128.382,56.21,70.625,70.829,5.85,6.696666667,107.383,5,0.05,0.95,95,115.6835248,64.2775443
129.627,58.683,71.508,71.82,5.54,6.243333333,107.195,4.866666667,0.048666667,0.951333333,95.13333333,119.39213,64.0648847
130.995,59.058,72.122,72.892,5.483333333,5.906666667,108.35,4.666666667,0.046666667,0.953333333,95.33333333,116.4097751,64.3387914
133.709,60.975,72.843,76.07,5.313333333,5.586666667,109.468,4.633333333,0.046333333,0.953666667,95.36666667,127.3343104,65.0038111
138.344,63.035,73.517,75.6,5.41,5.596666667,110.172,4.4,0.044,0.956,95.6,127.7398152,65.0501499
142.389,64.032,74.438,77.544,5.093333333,5.203333333,110.137,4.533333333,0.045333333,0.954666667,95.46666667,118.5847886,64.9946679
145.732,65.9,75.641,79.937,4.39,4.67,109.991,4.433333333,0.044333333,0.955666667,95.56666667,132.7840181,65.4427021
146.293,67.36,76.355,82.132,4.663333333,4.983333333,110.332,4.3,0.043,0.957,95.7,135.4929178,65.3558468
148.571,69.148,76.993,82.184,4.88,5.54,110.061,4.266666667,0.042666667,0.957333333,95.73333333,142.8085796,65.5074486
149.688,71.128,78.012,84.439,5.16,5.883333333,109.671,4.233333333,0.042333333,0.957666667,95.76666667,136.981415,65.5928785
150.78,71.444,79.293,86.701,5.606666667,6.14,109.721,4.066666667,0.040666667,0.959333333,95.93333333,153.1201228,65.8280575
151.529,74.062,79.582,86.092,6.186666667,6.48,113.291,4.033333333,0.040333333,0.959666667,95.96666667,161.508965,66.2679591
