period,ly,lg_r,r,r10,e,lpsi,l_g_r_ratio,q,psigr,s,lg,rat,ratio,gr_ham,r_ham,r10_ham,e_ham,psi_ham,ratio_ham,q_ham,psigr_ham,s_ham,g_ham,rat_ham
2001-10-01,4.403457837,5.020447001,2.243333333,4.77,94.5,4.70902557,0.633146797,119.7350168,66.9805572,2.526666667,4.387300205,1.1401146977758605,1.1443135337031263,3.866685359424693,-3.1879601782280336,-1.0907820544578177,-0.2871748697178873,1.4402315002429056,0.02835436775949196,-31.55976536301536,1.3650710249913658,1.5643975736571893,-12.510193584849905,2.987554741638032e-4
2002-01-01,4.411706789,5.052704511,2.32,5.076666667,94.3,4.693080326,0.636324759,119.0350894,66.1748831,2.756666667,4.416379751,1.145294724390624,1.1440828904842064,6.734158926088529,-3.5559098735305086,-1.1535974248246061,-0.4914237750359547,-1.9455448837593536,0.024134008816341312,-39.83863805399213,0.16785951785959696,2.009464236716622,-8.276980007658707,0.00212477290488855
2002-04-01,4.417840107,5.077209242,2.343333333,5.1,94.16666667,4.69573275,0.644537023,106.4610823,65.9896349,2.756666667,4.432672219,1.149251471087702,1.1454059743549923,10.479524556096642,-3.4945465503879354,-0.8739434542046238,-0.6540848228570155,-1.171323447703898,0.03835354127978596,-45.060200449453404,0.13531136246363928,2.1928831712352452,-12.59677150668459,0.015234766465608063
2002-07-01,4.421872153,5.080136481,1.813333333,4.26,94.26666667,4.690733014,0.648938802,92.25652722,65.8763316,2.446666667,4.431197679,1.148865526913392,1.1464477211376514,13.025860273148382,-4.001279696699027,-1.609047797500045,-0.5369586110899576,-1.9529894826230354,0.040877798539283416,-51.357797403169016,-0.13952670742010298,1.88747833932811,-11.809385669001848,0.017984092768349447
2002-10-01,4.423180574,5.097962177,1.53,4.006666667,94.13333333,4.690494307,0.667383502,93.30037872,65.369576,2.476666667,4.430578675,1.1525557439292553,1.150631226969466,13.242900660549939,-4.089311636834238,-1.708527947744236,-0.7109579051989527,-2.280502780591487,0.04313409510798061,-31.538329612177677,-0.8691411622720722,1.8830786839329519,-11.506834619923367,0.01851201954860815
2003-01-01,4.428325603,5.116213786,1.3,3.92,94.13333333,4.682445992,0.677972238,89.15057478,65.2272823,2.62,4.438241548,1.1553382123785083,1.1527569490456224,14.129600973318013,-3.2243579728064864,-1.347058056470675,-0.5862230653402776,-3.8641928715982488,0.04154558174501766,-26.150730680922038,-1.0528990855483755,1.4753450420775642,-8.919709165059242,0.017903328701190713
2003-04-01,4.437224795,5.132020722,1.153333333,3.62,93.86666667,4.684591162,0.686901924,98.64865013,65.4032951,2.466666667,4.445118798,1.1565834410244253,1.1545294862105955,13.722720137523048,-2.8865095827315352,-1.882880627358011,-0.7912205907718715,-3.3720502921101847,0.042430918409042784,-21.508344410329144,-0.5747308157096995,0.8307668681582943,-8.883453213298953,0.01816141323103837
2003-07-01,4.453754097,5.187748868,1.223333333,4.233333333,93.86666667,4.674481673,0.7068389,102.5017963,65.2726661,3.01,4.480909969,1.1648036139881208,1.1577444991954937,19.49970123524185,-2.408238351935802,-0.8758698028004286,-0.663089282684524,-3.5559058839883306,0.041782368789950564,-5.871177053394703,-0.7394628508994714,1.3396850806323608,-3.8169716979529866,0.024973183362967166
2003-10-01,4.465229728,5.217080196,1.3,4.286666667,94.16666667,4.675768435,0.703038943,107.3586229,65.350133,2.986666667,4.514041253,1.1683788995861493,1.1557449087406468,24.285940855185295,-1.4434756915190892,-0.6039465361395235,-0.09612478315402484,-3.310233083104297,0.02777183054395782,-13.452991714746346,-1.2853420986383526,1.0593469295702653,5.245373149989607,0.03394763398317546
2004-01-01,4.470941407,5.228634972,1.223333333,4.02,94.3,4.667459304,0.71261299,105.6860386,64.9803595,2.796666667,4.516021982,1.1694706989033015,1.1577966167658924,19.410952079736887,-1.7530255082496453,-1.2215786962839577,0.061941597579675545,-2.9031297187485094,0.03028660759729429,-14.307078952195127,-0.9840015308604109,1.2522710469628133,1.686994211067372,0.025512059085923244
2004-04-01,4.478699522,5.259851968,1.776666667,4.6,94.4,4.671191982,0.704660152,103.9088406,64.9362645,2.823333333,4.555191816,1.1744150153773143,1.1546938483523128,20.589090153622447,-1.09084766036218,-0.5186390053382333,0.20079132713810566,-2.250624768391596,0.02454962102813596,-6.721910716846736,-0.8073194877760983,1.2991478099218692,5.183432503356844,0.02581707040440606
2004-07-01,4.488074414,5.26695569,2.08,4.303333333,94.56666667,4.678309117,0.696366597,98.21399774,64.8709892,2.223333333,4.570589093,1.1735446439057193,1.1523581715246525,23.538098722343026,-0.3639793292167157,-0.049477776626861036,0.3778786646357162,-1.264176676283224,0.01749307153862678,1.9062084228826706,-0.7969324591608569,1.1547447282525247,9.323457105718358,0.03134272925846249
2004-10-01,4.498241775,5.280657342,2.466666667,4.173333333,94.56666667,4.668407861,0.689423822,102.9721511,64.6889997,1.706666667,4.59123352,1.1739380865093672,1.1501609140543125,22.182530131439204,0.16659888012687452,-0.22414109487852052,0.450167824198175,-1.9168719512173915,0.012529049118325863,7.081594291044013,-0.5329694031159136,0.6496189355976654,10.443493761250622,0.02533822522054674
